probe_type,probe
Type_0,Synthetic probe 0 (discrimination=0.00)
Type_0,Synthetic probe 1 (discrimination=0.05)
Type_0,Synthetic probe 2 (discrimination=0.11)
Type_0,Synthetic probe 3 (discrimination=0.16)
Type_0,Synthetic probe 4 (discrimination=0.21)
Type_1,Synthetic probe 5 (discrimination=0.26)
Type_1,Synthetic probe 6 (discrimination=0.32)
Type_1,Synthetic probe 7 (discrimination=0.37)
Type_1,Synthetic probe 8 (discrimination=0.42)
Type_1,Synthetic probe 9 (discrimination=0.47)
Type_2,Synthetic probe 10 (discrimination=0.53)
Type_2,Synthetic probe 11 (discrimination=0.58)
Type_2,Synthetic probe 12 (discrimination=0.63)
Type_2,Synthetic probe 13 (discrimination=0.68)
Type_2,Synthetic probe 14 (discrimination=0.74)
Type_3,Synthetic probe 15 (discrimination=0.79)
Type_3,Synthetic probe 16 (discrimination=0.84)
Type_3,Synthetic probe 17 (discrimination=0.89)
Type_3,Synthetic probe 18 (discrimination=0.95)
Type_3,Synthetic probe 19 (discrimination=1.00)
